OBJECTID,CASENUMBER,MODULENAME,CASEID,WORKCLASS,APPLICATIONDATE,PROJECTID,PROJECTNAME,GISHISTORYQUEUEID,SPATIALTYPE,SPATIALID,CASETYPE,CASEWORKCLASS,STATUS,DESCRIPTION,ISSUEDATE,EXPIREDATE,MAIN_ADDRESS_LINE1,MAIN_ADDRESS_LINE2,OWNER,BUSINESSPHONE,LASTCHANGEDON,SHAPE.AREA,SHAPE.LEN
418415,CPLN2017880969,PlanManagement,a243db96-d3be-41b9-aa2b-f4b95e73ce8a,21ce0a55-74f4-4564-bc2f-28fc972e7bce,1500907663000.0, ,,c25fa3cb-7512-4839-9060-6c26558d7fee,Parcel,17918610003,CD - Current Planning and Entitlements,Master Sign Plan,Pending,Clark County Credit Union MSP,,,67 E LAKE MEAD PKWY,"HENDERSON, NV 89015",Patrick Signs,7028734463,1501632000000.0,5964.24827638758,340.79390176944503
418416,CPLN2017880969,PlanManagement,a243db96-d3be-41b9-aa2b-f4b95e73ce8a,21ce0a55-74f4-4564-bc2f-28fc972e7bce,1500907663000.0, ,,c25fa3cb-7512-4839-9060-6c26558d7fee,Parcel,17918610003,CD - Current Planning and Entitlements,Master Sign Plan,Pending,Clark County Credit Union MSP,,,67 E LAKE MEAD PKWY,"HENDERSON, NV 89015",Patrick Signs,7028734463,1501632000000.0,6771.86293834774,343.41226094750806
418417,CPLN2017880969,PlanManagement,a243db96-d3be-41b9-aa2b-f4b95e73ce8a,21ce0a55-74f4-4564-bc2f-28fc972e7bce,1500907663000.0, ,,c25fa3cb-7512-4839-9060-6c26558d7fee,Parcel,17918610003,CD - Current Planning and Entitlements,Master Sign Plan,Pending,Clark County Credit Union MSP,,,67 E LAKE MEAD PKWY,"HENDERSON, NV 89015",Patrick Signs,7028734463,1501632000000.0,5949.8959845627105,323.75768596102904
418418,CPLN2017880830,PlanManagement,9c667939-945c-4211-9540-c0a79b26502e,21ce0a55-74f4-4564-bc2f-28fc972e7bce,1499326666000.0, ,THE CANYONS,30e7de6a-b305-4e79-bb31-faf782c9c208,Parcel,17832210010,CD - Current Planning and Entitlements,Master Sign Plan,Pending,Blackrock - Canyons at Macdonald Ranch Parcel F/L,,,975 AMARA WAY,"HENDERSON, NV","P N II, Inc",,1501632000000.0,554956.362562235,4315.92679934435
418419,CPLN2017880830,PlanManagement,9c667939-945c-4211-9540-c0a79b26502e,21ce0a55-74f4-4564-bc2f-28fc972e7bce,1499326666000.0, ,THE CANYONS,30e7de6a-b305-4e79-bb31-faf782c9c208,Parcel,17832210010,CD - Current Planning and Entitlements,Master Sign Plan,Pending,Blackrock - Canyons at Macdonald Ranch Parcel F/L,,,975 AMARA WAY,"HENDERSON, NV","P N II, Inc",,1501632000000.0,144698.594783834,2358.96609881331
418420,CPLN2017880830,PlanManagement,9c667939-945c-4211-9540-c0a79b26502e,21ce0a55-74f4-4564-bc2f-28fc972e7bce,1499326666000.0, ,THE CANYONS,5b782301-9b06-455a-9d2a-098b450e43df,Parcel,17832317001,CD - Current Planning and Entitlements,Master Sign Plan,Pending,Blackrock - Canyons at Macdonald Ranch Parcel F/L,,,975 AMARA WAY,"HENDERSON, NV","P N II, Inc",,1501632000000.0,556269.6679994221,4008.54791219648
418421,CPLN2017880830,PlanManagement,9c667939-945c-4211-9540-c0a79b26502e,21ce0a55-74f4-4564-bc2f-28fc972e7bce,1499326666000.0, ,THE CANYONS,52294016-1ca0-491d-9986-865860dc3d60,Parcel,17832314001,CD - Current Planning and Entitlements,Master Sign Plan,Pending,Blackrock - Canyons at Macdonald Ranch Parcel F/L,,,975 AMARA WAY,"HENDERSON, NV","P N II, Inc",,1501632000000.0,554956.362562235,4315.92679934435
418422,CPLN2017880830,PlanManagement,9c667939-945c-4211-9540-c0a79b26502e,21ce0a55-74f4-4564-bc2f-28fc972e7bce,1499326666000.0, ,THE CANYONS,52294016-1ca0-491d-9986-865860dc3d60,Parcel,17832314001,CD - Current Planning and Entitlements,Master Sign Plan,Pending,Blackrock - Canyons at Macdonald Ranch Parcel F/L,,,975 AMARA WAY,"HENDERSON, NV","P N II, Inc",,1501632000000.0,144698.594783834,2358.96609881331
418423,CPLN2017880830,PlanManagement,9c667939-945c-4211-9540-c0a79b26502e,21ce0a55-74f4-4564-bc2f-28fc972e7bce,1499326666000.0, ,THE CANYONS,52294016-1ca0-491d-9986-865860dc3d60,Parcel,17832314001,CD - Current Planning and Entitlements,Master Sign Plan,Pending,Blackrock - Canyons at Macdonald Ranch Parcel F/L,,,975 AMARA WAY,"HENDERSON, NV","P N II, Inc",,1501632000000.0,556269.6679994221,4008.54791219648
418424,CPLN2020006228,PlanManagement,866fe9fb-084b-4e4c-a7bc-40137d4cad6b,Master Sign Plan,1603670400000.0, ,,b160748d-f603-4910-84ef-2b392b862628,Parcel,19103110001,CD - Current Planning and Entitlements,Master Sign Plan,Pending,St Rose & Bermuda Master Sign Plan,,,1217 OSSA ST,"HENDERSON, NV 89052",Ryland Homes / Lennar,7024504907,1601510400000.0,4503.7861619304995,298.65621471587303
