OBJECTID_BILLBOARD,LVBOARDS_,LVBOARDS_I,SIGN_TYPE,STREET_NUM,STREET_DIR,STREET_NAM,PARCEL,PARCELOLD,APPLICANT,SIGN_AREA,SIGN_HEIGH,TAG_NUM,APPLY_DATE,NOTES_SUP,NOTES_VAR,NOTES_RQR,NOTES,SIZE_,FIELD_CHEC,FREEWAY,APP_FIN,WARD_BILLBOARD,OBJECTID_1,CALC_ACRES,ASSR_ACRES,LABEL_CLAS,PARCELTYPE,PRCLID,PRCLKEY,PRCLVER,PCLBOOK,PCLSEC,PCLPAGE,PCLSUBD,PCLNO,TAXDIST_SP,FDPHANTOM,FIREMAPNO,CENTRACT,SHAPE_LENG,PRECINCT,COMMISSION,ASSEMBLY,SENATE,CONGRESS,TAZ,AREA,PERIMETER,WARD_PARCEL,CNTY_IS,SHADE,ACRES,SQ_MILES,ZIP,OBJECTID_PARCEL,TAXDIST,OWNER,ADDRESS1,ADDRESS2,ADDRESS3,ADDRESS4,ADDRESS5,NAMETAG,ZIPCODE,COMNAME,STRNO,STRFRAC,STRDIR,STRNAME,STRTYPE,STRCITY,STRUNIT,COMMENT1,COMMENT2,FIXD,SUBTAG,LEGAL1,LEGAL2,LEGAL3,LEGAL4,LEGAL5,LEGAL6,ASSDYR,CONSTYR,DOCDATE,FILLER1,DOCNO,DOCMULTI,DOCVEST,SALEPRICE,SALETYPE,SALEDATE,PORTION,BK1,BK2,SECTNO,TOWNSHIP,RANGE,LANDUSE,CAPACITY,LANDCD1,LANDACRE1,LANDVAL1,LANDCD2,LANDACRE2,LANDVAL2,IMPVAL,PRCD1,PRVAL1,PRCD2,PRVAL2,PRCD3,PRVAL3,EXMPCD,EXMPVAL,LYACRES,LYLNDVAL,LYIMPVAL,LYPPVAL,LYEXCD,LYEXVAL,LY2ACRES,LY2LNDVAL,LY2IMPVAL,LY2PPVAL,LY2EXCD,LY2EXVAL,OWNERNUM,OWNERDEN,ETALFLAG,UPDDATE,LASTUPDATE,LOTSQFT,OLDPARCEL,INACTPCL,INACTREF,FILLER2,PCLBOOK3,PCL5,PCL6,PCL8,OLDBOOK,OLDPCL,OLDPAGE,OLDLOT,OLDFILL,ZIPMAIN,ZIPLUS4,LOCATION,STR,ADBOOK,ADPAGE,ADDR_OWN,ADDRESS,INACTNEWPC,LUCODE,SHAPE_LE_1,Shape__Area,Shape__Length
101,122,14, ,1292,E,Charleston,16202110014,16202110001,Clear Channel Outdoor,288,40,1953,1/7/96, ,V-0068-90,RQR-29809; RQR-15054; V-68-90(1), ,12x24,1,300, ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,123,16, ,1524,E,Charleston,16202111001,16202111001, ,288,40,0, , , , ,DONREY,12x24,1,300, ,3,488206.0,0.0,0.0,703.0,0.0,16202111001,703.0,703.0,162,02,1,11,001,203.0,2526-13,2526.0,1300.0,19091.7986232,5384.0,E,15.0,10.0,1.0,571.0,,150972.207738,3,0.0,57.0,8235.23370861,12.86755267,89104.0,432491.0,203.0,KIMBROUGH FAMILY TRUST ETAL,KIMBROUGH DENNIS TRS,4125 MARKET ST STE 5,VENTURA CA 93003, , , ,930030000.0, ,1524.0, ,E,CHARLESTON,BLVD,LV, , , ,PB00020066  B2    L1, ,CHARLESTON SQUARE TRACT #1,PLAT BOOK 2 PAGE 66,LOT 1 BLOCK 2,& VAC RD, , ,2027.0,1992.0,20230203, ,2023020300364, ,NS,0.0, , , , , ,02,21,61,730000.0,1.0, ,0.0,32930.0, ,0.0,0.0,4639.0, ,0.0, ,0.0, ,0.0, ,0.0,0.0,31101.0,4678.0,0.0, ,0.0,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,Y,20240102,20240102,0.0, ,16202111001,0.0, ,162,16202,162021,16202111,162,162021110,021,110,01,93003.0,0.0,001524   E CHARLESTON            BLVDL,0221  61,0002,0066,KIMBROUGH FAMILY TRUST ETAL     KIMBROUGH DENNIS TRS            4125 MARKET ST STE 5            VENTURA CA 93003,001524   E CHARLESTON            BLVD, ,730.0,403.24017152,10566.130859375,403.2401715239554
103,124,16, ,1548,E,Charleston,16202111039,16202111039, ,288,40,0, , , , ,DONREY,12x24,1,300, ,3,524376.0,0.0,0.0,703.0,0.0,16202111039,703.0,703.0,162,02,1,11,039,203.0,2526-13,2526.0,1300.0,19091.7986232,5384.0,E,15.0,10.0,1.0,571.0,,150972.207738,3,0.0,57.0,8235.23370861,12.86755267,89104.0,432529.0,203.0,KIMBROUGH FAMILY TRUST ETAL,KIMBROUGH DENNIS TRS,4125 MARKET ST STE 5,VENTURA CA 93003, , , ,930030000.0, ,1548.0, ,E,CHARLESTON,BLVD,LV, , , ,PB00020066PTB1    L3, ,CHARLESTON SQUARE TRACT #1,PLAT BOOK 2 PAGE 66,PT LOT 3 BLOCK 1,& PT LOT 4, , ,2027.0,1967.0,20230203, ,2023020300364, ,NS,0.0, , , , , ,02,21,61,358000.0,1.0, ,0.0,54886.0, ,0.0,0.0,106148.0, ,0.0, ,0.0, ,0.0, ,0.0,0.0,51836.0,106088.0,0.0, ,0.0,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,Y,20240130,20240130,0.0, ,16202111039,0.0, ,162,16202,162021,16202111,162,162021110,021,110,39,93003.0,0.0,001548   E CHARLESTON            BLVDL,0221  61,0002,0066,KIMBROUGH FAMILY TRUST ETAL     KIMBROUGH DENNIS TRS            4125 MARKET ST STE 5            VENTURA CA 93003,001548   E CHARLESTON            BLVD, ,358.0,531.8670446,17597.154296875,531.8670445885484
104,125,18, ,1647,E,Charleston,13935413031,13935413031, ,288,40,0, , , , ,DONREY,12x24,1,300, ,3,374067.0,0.0,0.0,703.0,0.0,13935413031,703.0,703.0,139,35,4,13,031,203.0,2426-93,2426.0,600.0,10938.262301,4547.0,D,11.0,2.0,1.0,1307.0,,150972.207738,3,0.0,57.0,8235.23370861,12.86755267,89104.0,322727.0,203.0,CHAN STEPHANIE,700 SHOOTING STAR ST,LAS VEGAS NV 89107, , , , ,891070000.0, ,1647.0, ,E,CHARLESTON,BLVD,LV, , , ,PB00020047  B4    L15, ,MAYFAIR TRACT #2 AMD,PLAT BOOK 2 PAGE 47,LOT 15 BLOCK 4, , , ,2027.0,1951.0,20180404, ,2018040402073, ,NS,232000.0,R,20180401, , , ,35,20,61,358000.0,1.0, ,0.0,21956.0, ,0.0,0.0,30692.0, ,0.0, ,0.0, ,0.0, ,0.0,0.0,20736.0,30663.0,0.0, ,0.0,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,N,20231117,20231117,0.0, ,13935413031,0.0, ,139,13935,139354,13935413,139,139354130,354,130,31,89107.0,0.0,001647   E CHARLESTON            BLVDL,3520  61,0002,0047,CHAN STEPHANIE                  700 SHOOTING STAR ST            LAS VEGAS NV 89107,001647   E CHARLESTON            BLVD, ,358.0,368.01543061,7020.94140625,368.015430603348
105,126,16, ,1636,E,Charleston,16202113005,16202113005, ,288,40,0, , , , ,DONREY,12x24,1,300, ,3,349693.0,0.0,0.0,703.0,0.0,16202113005,703.0,703.0,162,02,1,13,005,203.0,2526-14,2526.0,1300.0,19091.7986232,5384.0,E,15.0,10.0,1.0,571.0,,150972.207738,3,0.0,57.0,8235.23370861,12.86755267,89104.0,432563.0,203.0,BANG ON BUMRUNGJITT LIV TR,4012 LILAC CREEK CT,LAS VEGAS NV 89122-3582, , , , ,891223582.0, ,1636.0, ,E,CHARLESTON,BLVD,LV, , , ,PB00020099  B1    L5, ,CHARLESTON SQUARE TRACT #4,PLAT BOOK 2 PAGE 99,LOT 5 BLOCK 1, , , ,2027.0,1952.0,20171219, ,2017121901265, ,NS,325000.0,R,20070901, , , ,02,21,61,335000.0,1.0, ,0.0,20582.0, ,0.0,0.0,27067.0, ,0.0, ,0.0, ,0.0, ,0.0,0.0,19439.0,26546.0,0.0, ,0.0,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,N,20231117,20231117,0.0, ,16202113005,0.0, ,162,16202,162021,16202113,162,162021130,021,130,05,89122.0,3582.0,001636   E CHARLESTON            BLVDL,0221  61,0002,0099,BANG ON BUMRUNGJITT LIV TR      4012 LILAC CREEK CT             LAS VEGAS NV 89122-3582,001636   E CHARLESTON            BLVD, ,335.0,365.51597097,6718.7734375,365.5159709758094
106,127,19, ,1707,E,Charleston,13935413159,13935413159, ,672,40,0, , , , ,DONREY,14x48,1,300, ,3,452603.0,0.0,0.0,703.0,0.0,13935413159,703.0,703.0,139,35,4,13,159,203.0,2426-93,2426.0,600.0,10938.262301,4547.0,D,11.0,2.0,1.0,1307.0,,150972.207738,3,0.0,57.0,8235.23370861,12.86755267,89104.0,322853.0,203.0,S A LIBERTAD L L C,1707 E CHARLESTON BLVD # D,LAS VEGAS NV 89104, , , , ,891040000.0, ,1707.0, ,E,CHARLESTON,BLVD,LV,100, , ,PB00020047PTB7    L1, ,MAYFAIR TRACT #2 AMD,PLAT BOOK 2 PAGE 47,PT LOT 1 BLOCK 7,& PT LOT 2, , ,2027.0,1950.0,20150416, ,2015041601934, ,NS,290000.0,M,20150401, , , ,35,20,61,335000.0,1.0, ,0.0,27443.0, ,0.0,0.0,28819.0, ,0.0, ,0.0, ,0.0, ,0.0,0.0,25918.0,28260.0,0.0, ,0.0,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,N,20231117,20231117,0.0, ,13935413159,0.0, ,139,13935,139354,13935413,139,139354131,354,131,59,89104.0,0.0,001707   E CHARLESTON            BLVDL,3520  61,0002,0047,S A LIBERTAD L L C              1707 E CHARLESTON BLVD # D      LAS VEGAS NV 89104,001707   E CHARLESTON            BLVD, ,335.0,411.31568536,8648.046875,411.31568537265935
107,128,18, ,1800,E,Lewis,13935814001,13935814001, ,288,30,0, , , , ,DONREY,12x24,1,300, ,3,356666.0,0.0,0.0,703.0,0.0,13935814001,703.0,703.0,139,35,8,14,001,203.0,2426-95,2426.0,521.0,11850.1779635,4543.0,D,11.0,2.0,1.0,492.0,,150972.207738,3,0.0,57.0,8235.23370861,12.86755267,89101.0,324023.0,203.0,VAZQUEZ LUIS ENRIQUE PEREZ,6823 SIERRA TRAIL,LAS VEGAS NV 89146, , , , ,891460000.0, ,1800.0, , ,LEWIS,AVE,LV, , , ,PB00030009        L1, ,LAWRENCE LOVE TRACT,PLAT BOOK 3 PAGE 9,LOT 1, , , ,2027.0,1952.0,20230707, ,2023070701478, ,NS,330000.0,R,20230701, , , ,35,20,61,335000.0,1.0, ,0.0,21956.0, ,0.0,0.0,45121.0, ,0.0, ,0.0, ,0.0, ,0.0,0.0,20736.0,44261.0,0.0, ,0.0,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,N,20231117,20231117,0.0, ,13935814001,0.0, ,139,13935,139358,13935814,139,139358140,358,140,01,89146.0,0.0,001800     LEWIS                 AVE L,3520  61,0003,0009,VAZQUEZ LUIS ENRIQUE PEREZ      6823 SIERRA TRAIL               LAS VEGAS NV 89146,001800     LEWIS                 AVE, ,335.0,346.36378485,6796.984375,346.36378485332114
108,129,23, ,1813,E,Charleston,13935814016,13935814016,Clear Channel Outdoor,672,40,0, , , , , ,14x48,1,300, ,3,448829.0,0.0,0.0,703.0,0.0,13935814016,703.0,703.0,139,35,8,14,016,203.0,2426-95,2426.0,521.0,11850.1779635,4543.0,D,11.0,2.0,1.0,492.0,,150972.207738,3,0.0,57.0,8235.23370861,12.86755267,89104.0,324036.0,203.0,GARDEN APARTMENTS L L C SERIES 1,9540 SMILEY CREEK ST,LAS VEGAS NV 89178, , , , ,891780000.0, ,1813.0, ,E,CHARLESTON,BLVD,LV, , , ,PB00030009        L17, ,LAWRENCE LOVE TRACT,PLAT BOOK 3 PAGE 9,LOT 17,& VAC RD, , ,2027.0,1952.0,20250922, ,2025092201098, ,NS,0.0, , , , , ,35,20,61,150000.0,9.0, ,0.0,55125.0, ,0.0,0.0,30093.0, ,0.0, ,0.0, ,0.0, ,0.0,0.0,53550.0,29595.0,0.0, ,0.0,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,N,20250924,20250924,0.0, ,13935814016,0.0, ,139,13935,139358,13935814,139,139358140,358,140,16,89178.0,0.0,001813   E CHARLESTON            BLVDL,3520  61,0003,0009,GARDEN APARTMENTS L L C SERIES 19540 SMILEY CREEK ST            LAS VEGAS NV 89178,001813   E CHARLESTON            BLVD, ,150.0,393.72916398,8256.34765625,393.72916397092314
109,130,17, ,1924,E,Charleston,16202512005,16202512005, ,288,40,0, , , , ,DONREY,12x24,1,300, ,3,509555.0,0.0,0.0,703.0,0.0,16202512005,703.0,703.0,162,02,5,12,005,203.0,2526-18,2526.0,1401.0,15449.9406988,5384.0,E,15.0,10.0,1.0,571.0,,150972.207738,3,0.0,57.0,8235.23370861,12.86755267,89104.0,433648.0,203.0,FRANCO JOSEPH,10717 HUNTERS WOOD PL,LAS VEGAS NV 89134, , , , ,891340000.0, ,1924.0, ,E,CHARLESTON,BLVD,LV, , , ,PB00030003        L5, ,CRESTWOOD HOMES TRACT #5,PLAT BOOK 3 PAGE 3,LOT 5,& VAC RD, , ,2027.0,1951.0,20230510, ,2023051003581, ,NS,505000.0,M,20141001, , , ,02,21,61,335000.0,1.0, ,0.0,35677.0, ,0.0,0.0,44362.0, ,0.0, ,0.0, ,0.0, ,0.0,0.0,33695.0,43505.0,0.0, ,0.0,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,N,20231117,20231117,0.0, ,16202512005,0.0, ,162,16202,162025,16202512,162,162025120,025,120,05,89134.0,0.0,001924   E CHARLESTON            BLVDL,0221  61,0003,0003,FRANCO JOSEPH                   10717 HUNTERS WOOD PL           LAS VEGAS NV 89134,001924   E CHARLESTON            BLVD, ,335.0,465.52124676,11409.01171875,465.5212467610895
110,131,19, ,2028,E,Charleston,16202512012,16202512012, ,672,40,0, , , , ,DONREY,14x48,1,300, ,3,488316.0,0.0,0.0,703.0,0.0,16202512012,703.0,703.0,162,02,5,12,012,203.0,2526-19,2526.0,1401.0,15449.9406988,5384.0,E,15.0,10.0,1.0,571.0,,150972.207738,3,0.0,57.0,8235.23370861,12.86755267,89104.0,433655.0,203.0,MUYA GROUP L L C,4553 BALFOUR DR,LAS VEGAS NV 89121, , , , ,891210000.0, ,2032.0, ,E,CHARLESTON,BLVD,LV,UT 110, , ,PB00030003        L14, ,CRESTWOOD HOMES TRACT #5,PLAT BOOK 3 PAGE 3,LOT 14,& VAC RD, , ,2027.0,1953.0,20221020, ,2022102001305, ,NS,1450000.0,M,20220401, , , ,02,21,61,358000.0,1.0, ,0.0,32930.0, ,0.0,0.0,44217.0, ,0.0, ,0.0, ,0.0, ,0.0,0.0,31101.0,44146.0,0.0, ,0.0,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,N,20231117,20231117,0.0, ,16202512012,0.0, ,162,16202,162025,16202512,162,162025120,025,120,12,89121.0,0.0,002032   E CHARLESTON            BLVDL,0221  61,0003,0003,MUYA GROUP L L C                4553 BALFOUR DR                 LAS VEGAS NV 89121,002032   E CHARLESTON            BLVD, ,358.0,456.45592287,10575.283203125,456.45592286121837
