OBJECTID_BILLBOARD,LVBOARDS_,LVBOARDS_I,SIGN_TYPE,STREET_NUM,STREET_DIR,STREET_NAM,PARCEL,PARCELOLD,APPLICANT,SIGN_AREA,SIGN_HEIGH,TAG_NUM,APPLY_DATE,NOTES_SUP,NOTES_VAR,NOTES_RQR,NOTES,SIZE_,FIELD_CHEC,FREEWAY,APP_FIN,WARD_BILLBOARD,OBJECTID_1,CALC_ACRES,ASSR_ACRES,LABEL_CLAS,PARCELTYPE,PRCLID,PRCLKEY,PRCLVER,PCLBOOK,PCLSEC,PCLPAGE,PCLSUBD,PCLNO,TAXDIST_SP,FDPHANTOM,FIREMAPNO,CENTRACT,SHAPE_LENG,PRECINCT,COMMISSION,ASSEMBLY,SENATE,CONGRESS,TAZ,AREA,PERIMETER,WARD_PARCEL,CNTY_IS,SHADE,ACRES,SQ_MILES,ZIP,OBJECTID_PARCEL,TAXDIST,OWNER,ADDRESS1,ADDRESS2,ADDRESS3,ADDRESS4,ADDRESS5,NAMETAG,ZIPCODE,COMNAME,STRNO,STRFRAC,STRDIR,STRNAME,STRTYPE,STRCITY,STRUNIT,COMMENT1,COMMENT2,FIXD,SUBTAG,LEGAL1,LEGAL2,LEGAL3,LEGAL4,LEGAL5,LEGAL6,ASSDYR,CONSTYR,DOCDATE,FILLER1,DOCNO,DOCMULTI,DOCVEST,SALEPRICE,SALETYPE,SALEDATE,PORTION,BK1,BK2,SECTNO,TOWNSHIP,RANGE,LANDUSE,CAPACITY,LANDCD1,LANDACRE1,LANDVAL1,LANDCD2,LANDACRE2,LANDVAL2,IMPVAL,PRCD1,PRVAL1,PRCD2,PRVAL2,PRCD3,PRVAL3,EXMPCD,EXMPVAL,LYACRES,LYLNDVAL,LYIMPVAL,LYPPVAL,LYEXCD,LYEXVAL,LY2ACRES,LY2LNDVAL,LY2IMPVAL,LY2PPVAL,LY2EXCD,LY2EXVAL,OWNERNUM,OWNERDEN,ETALFLAG,UPDDATE,LASTUPDATE,LOTSQFT,OLDPARCEL,INACTPCL,INACTREF,FILLER2,PCLBOOK3,PCL5,PCL6,PCL8,OLDBOOK,OLDPCL,OLDPAGE,OLDLOT,OLDFILL,ZIPMAIN,ZIPLUS4,LOCATION,STR,ADBOOK,ADPAGE,ADDR_OWN,ADDRESS,INACTNEWPC,LUCODE,SHAPE_LE_1,Shape__Area,Shape__Length
1,2,1,37,5501, ,Drexel,12534501003,12534501003,Fletcher Jones,219,30,0, ,U-35-93,VAR-1550,RQR-29149: RQR-2814; U-35-93(2), ,12.5x17.5,1,750, ,6,599995.0,0.0,9.46,701.0,0.0,12534501003,701.0,701.0,125,34,5,01,003,200.0,1718-16,1718.0,3305.0,25080.0013163,2695.0,B,4.0,18.0,4.0,130.0,,455249.746111,6,0.0,93.0,26360.5717261,41.18839332,89130.0,137040.0,200.0,S K J & E LAND L L C,C/O FRIENDLY FORD,660 N DECATUR BLVD,LAS VEGAS NV 89130, , , ,891300000.0, ,5501.0, , ,DREXEL,RD,LV, , , ,PM00880071        L1, ,PARCEL MAP FILE 88 PAGE 71,LOT 1, , , , ,2027.0,2000.0,20211222, ,2021122200480, ,NS,26000000.0,R,20211201, , , ,34,19,60,370000.0,1.0, ,9.0,1951395.0, ,0.0,0.0,3196169.0, ,0.0, ,0.0, ,0.0, ,0.0,0.0,1781207.0,3214863.0,0.0, ,0.0,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,N,20231117,20231117,0.0, ,12534501002,0.0, ,125,12534,125345,12534501,125,125345010,345,010,03,89130.0,0.0,005501     DREXEL                RD  L,3419  60,0088,0071,S K J & E LAND L L C            C/O FRIENDLY FORD               660 N DECATUR BLVD              LAS VEGAS NV 89130,005501     DREXEL                RD, ,370.0,3008.83671656,411807.212890625,3008.8367165535938
2,6,12,AA,4950,N,RANCHO,12535401001,12535401001,LAMAR,672,40,963,6/14/95,U-37-95, ,RQR-18680; RQR-9375; RQR-5166, ,14x48,1,300, ,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8,13, ,3901,N,Rancho,13812110004,13812110004,Clear Channel Outdoor,672,40,0, ,U-10-97, ,RQR-39501; 22126; 4270; U-10-97(1), ,14x48,1,300, ,6,586789.0,0.0,0.0,703.0,0.0,13812110004,703.0,703.0,138,12,1,10,004,200.0,1921-32,1921.0,3413.0,25122.3741037,2009.0,B,3.0,3.0,4.0,1137.0,,265026.231717,5,0.0,113.0,9805.19074535,15.32061054,89108.0,213124.0,200.0,POOLE-SANFORD L L C,3901 N RANCHO DR,LAS VEGAS NV 89130-3415, , , , ,891303415.0, ,3901.0, ,N,RANCHO,DR,LV, , , ,PM00340089        L1, ,PARCEL MAP FILE 34 PAGE 89,LOT 1,(PLAT BOOK 4-19 LOT 5 PT LOT 6), , , ,2027.0,1981.0,19970918, ,1997091801543, ,NS,850000.0,M,19970901, , , ,12,20,60,345000.0,1.0, ,2.0,316963.0, ,0.0,0.0,372907.0, ,0.0, ,0.0, ,0.0, ,0.0,0.0,288148.0,379568.0,0.0, ,0.0,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,N,20231117,20231117,0.0, ,13812110004,0.0, ,138,13812,138121,13812110,138,138121100,121,100,04,89130.0,3415.0,003901   N RANCHO                DR  L,1220  60,0034,0089,POOLE-SANFORD L L C             3901 N RANCHO DR                LAS VEGAS NV 89130-3415,003901   N RANCHO                DR, ,345.0,1150.00035357,82500.091796875,1150.0003535849505
5,9,18, ,3901,N,Rancho,13812110005,13812110004,Clear Channel Outdoor,288,40,0, , , , , , ,1,300, ,6,557657.0,0.0,0.0,703.0,0.0,13812110005,703.0,703.0,138,12,1,10,005,200.0,1921-32,1921.0,3413.0,25122.3741037,2009.0,B,3.0,3.0,4.0,1137.0,,265026.231717,5,0.0,113.0,9805.19074535,15.32061054,89108.0,213125.0,200.0,POOLE-SANFORD L L C,3901 N RANCHO DR,LAS VEGAS NV 89130-3415, , , , ,891303415.0, ,3901.0, ,N,RANCHO,DR,LV, , , ,PM00340089        L2, ,PARCEL MAP FILE 34 PAGE 89,LOT 2,(PLAT BOOK 4-19 PT LOT 6), , , ,2027.0,1984.0,19970918, ,1997091801543, ,NS,850000.0,M,19970901, , , ,12,20,60,730000.0,1.0, ,1.0,105656.0, ,0.0,0.0,8292.0, ,0.0, ,0.0, ,0.0, ,0.0,0.0,96051.0,8442.0,0.0, ,0.0,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,N,20231117,20231117,0.0, ,13812110005,0.0, ,138,13812,138121,13812110,138,138121100,121,100,05,89130.0,3415.0,003901   N RANCHO                DR  L,1220  60,0034,0089,POOLE-SANFORD L L C             3901 N RANCHO DR                LAS VEGAS NV 89130-3415,003901   N RANCHO                DR, ,730.0,749.99973068,27499.970703125,749.9997306818807
6,10,16, ,3340,N,Rancho,13812810004,13812810004,Clear Channel Outdoor,672,50,1234, ,U-119-95, ,RQR-32723, ,14x48,1,300, ,6,545812.0,0.0,0.0,703.0,0.0,13812810004,703.0,703.0,138,12,8,10,004,200.0,1921-86,1921.0,3414.0,26731.4310858,2037.0,B,7.0,4.0,4.0,231.0,,265026.231717,5,0.0,113.0,9805.19074535,15.32061054,89130.0,214377.0,200.0,MADDOX DAVID,1060 PRIMAVERA LN,NIPOMO CA 93444, , , , ,934440000.0, ,3340.0, ,N,RANCHO,DR,LV, , , ,PB00030086  B1    L8, ,ELSTNER EST SUB,PLAT BOOK 3 PAGE 86,LOT 8 BLOCK 1,& PT VAC ALLEY, , ,2027.0,1956.0,20111212, ,2011121200894, ,NS,335000.0,M,20040301, , , ,12,20,60,358000.0,1.0, ,0.0,82174.0, ,0.0,0.0,11931.0, ,0.0, ,0.0, ,0.0, ,0.0,0.0,74704.0,11931.0,0.0, ,0.0,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,N,20231117,20231117,0.0, ,13812810004,0.0, ,138,13812,138128,13812810,138,138128100,128,100,04,93444.0,0.0,003340   N RANCHO                DR  L,1220  60,0003,0086,MADDOX DAVID                    1060 PRIMAVERA LN               NIPOMO CA 93444,003340   N RANCHO                DR, ,358.0,623.2247054,21334.587890625,623.2247054064294
7,11,8,AA,3282,N,RANCHO,13812810042,13812810042,LAMAR,672,40,756,2/3/95,U-288-94, ,U-288-94(1), ,14x48,1,300, ,6,588073.0,0.0,3.08,811.0,0.0,13812810042,811.0,811.0,138,12,8,10,042,200.0,1921-97,1921.0,3414.0,26731.4310858,2037.0,B,7.0,4.0,4.0,231.0,,265026.231717,5,0.0,113.0,9805.19074535,15.32061054,89130.0,214411.0,200.0,RANCHO SELF STORAGE L L C,C/O S KAOHU,530 LOMAS SANTA FE DR # C,SOLANA BEACH CA 92075-1346, , , ,920751346.0, ,3200.0, ,N,RANCHO,DR,LV, , , ,PB00030086PTB1    L1, ,ELSTNER EST SUB,PLAT BOOK 3 PAGE 86,PT LOT 1 BLOCK 1,"& PT LOTS 2,3,5,20 LOT 4 (PARCEL",MAP 67-94 LOT 1), ,2027.0,1997.0,20030129, ,2003012902172, ,NS,6400000.0,R,20030101, , , ,12,20,60,250000.0,788.0, ,3.0,516535.0, ,0.0,0.0,1416086.0, ,0.0, ,0.0, ,0.0, ,0.0,0.0,469578.0,1427050.0,0.0, ,0.0,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,N,20231117,20231117,0.0, ,13812810042,0.0, ,138,13812,138128,13812810,138,138128100,128,100,42,92075.0,1346.0,003200   N RANCHO                DR  L,1220  60,0003,0086,RANCHO SELF STORAGE L L C       C/O S KAOHU                     530 LOMAS SANTA FE DR # C       SOLANA BEACH CA 92075-1346,003200   N RANCHO                DR, ,250.0,1706.14339651,133886.162109375,1706.1433965181263
8,12,7,AA,3201,N,RANCHO,13812801011,13812801011,LAMAR,672,40,754,2/1/95,U-0260-94, ,RQR-24332; RQR-6792; U-260-94(1), ,14x48,1,300, ,6,544411.0,0.0,0.51,701.0,0.0,13812801011,701.0,701.0,138,12,8,01,011,200.0,1921-97,1921.0,3413.0,25122.3741037,2009.0,B,3.0,3.0,4.0,230.0,,265026.231717,5,0.0,113.0,9805.19074535,15.32061054,89130.0,214367.0,200.0,BARTSAS MARY 1 L L C,C/O GALARDI GRP INC,1775 FLIGHT WAY STE 125,TUSTIN CA 92782, , , ,927820000.0, ,3201.0, ,N,RANCHO,DR,LV, , , ,PM00140073        L1, ,PARCEL MAP FILE 14 PAGE 73,LOT 1, , , , ,2027.0,1978.0,20021205, ,2002120501683, ,NS,560000.0,R,20011001, , , ,12,20,60,358000.0,1.0, ,1.0,124410.0, ,0.0,0.0,65130.0, ,0.0, ,0.0, ,0.0, ,0.0,0.0,116634.0,68575.0,0.0, ,0.0,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,N,20250818,20250818,0.0, ,13812801011,0.0, ,138,13812,138128,13812801,138,138128010,128,010,11,92782.0,0.0,003201   N RANCHO                DR  L,1220  60,0014,0073,BARTSAS MARY 1 L L C            C/O GALARDI GRP INC             1775 FLIGHT WAY STE 125         TUSTIN CA 92782,003201   N RANCHO                DR, ,358.0,588.0277452,21845.951171875,588.0277452061596
9,13,11,AA,0,N,Rancho,13813505001,13813505001,Clear Channel Outdoor,288,30,0, , , , ,North Las Vegas,12x24,1,300, ,NLV,576782.0,0.0,21.35,701.0,0.0,13813505001,701.0,701.0,138,13,5,05,001,250.0,2121-18,2121.0,3616.0,42091.8115584,4039.0,D,6.0,4.0,4.0,1139.0,,0.0, ,0.0,0.0,0.0,0.0,89130.0,215187.0,250.0,MOSSMAN MYRA,1333 N ORANGE DR,HOLLYWOOD CA 90028, , , , ,900280000.0, ,3100.0, ,N,RANCHO,DR,NLV, , , ,00000000, ,PT NE4 NE4 SEC 13 20 60, , , , , ,2027.0,0.0,20241024, ,2024102402196, ,NS,0.0, , , , , ,13,20,60,0.0,0.0, ,21.0,2050663.0, ,0.0,0.0,0.0, ,0.0, ,0.0, ,0.0, ,0.0,0.0,1992073.0,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,N,20250107,20250107,0.0, ,13813505001,0.0, ,138,13813,138135,13813505,138,138135050,135,050,01,90028.0,0.0,003100   N RANCHO                DR  N,1320  60,0000,0000,MOSSMAN MYRA                    1333 N ORANGE DR                HOLLYWOOD CA 90028,003100   N RANCHO                DR, ,0.0,4049.69138767,924688.6953125,4049.385736295252
10,14,5,AA,2951,N,RANCHO,13813601019,13813601002,Rancho Oasis,672,40,936,6/2/95, ,V-23-95,RQR-29275; RQR-2785, ,14x48,1,300, ,5,591254.0,0.0,2.0,701.0,0.0,13813601019,701.0,701.0,138,13,6,01,019,200.0,2121-38,2121.0,3427.0,15093.9943108,2046.0,B,3.0,3.0,4.0,294.0,,265026.231717,5,0.0,113.0,9805.19074535,15.32061054,89130.0,215232.0,200.0,GRIND MODE 1 L L C,2901 N RANCHO DR,LAS VEGAS NV 89130, , , , ,891300000.0, ,2901.0, ,N,RANCHO,DR,LV, ,C-20150213:64, ,PM00950017        L1, ,PARCEL MAP FILE 95 PAGE 17,LOT 1, , , , ,2027.0,2000.0,20150212, ,2015021202800, ,NS,2970000.0,R,20150201, , , ,13,20,60,358000.0,1.0, ,2.0,233264.0, ,0.0,0.0,558624.0, ,0.0, ,0.0, ,0.0, ,0.0,0.0,226556.0,566499.0,0.0, ,0.0,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,N,20231117,20231117,0.0, ,13813601002,0.0, ,138,13813,138136,13813601,138,138136010,136,010,19,89130.0,0.0,002901   N RANCHO                DR  L,1320  60,0095,0017,GRIND MODE 1 L L C              2901 N RANCHO DR                LAS VEGAS NV 89130,002901   N RANCHO                DR, ,358.0,1388.90041725,87889.708984375,1388.9004172593538
11,15,5,AA,2901,N,RANCHO,13813601019,13813601002,Rancho Oasis,672,40,937,6/2/95, ,V-23-95,RQR-29275; RQR-2785, ,14x48,1,300, ,5,591254.0,0.0,2.0,701.0,0.0,13813601019,701.0,701.0,138,13,6,01,019,200.0,2121-38,2121.0,3427.0,15093.9943108,2046.0,B,3.0,3.0,4.0,294.0,,265026.231717,5,0.0,113.0,9805.19074535,15.32061054,89130.0,215232.0,200.0,GRIND MODE 1 L L C,2901 N RANCHO DR,LAS VEGAS NV 89130, , , , ,891300000.0, ,2901.0, ,N,RANCHO,DR,LV, ,C-20150213:64, ,PM00950017        L1, ,PARCEL MAP FILE 95 PAGE 17,LOT 1, , , , ,2027.0,2000.0,20150212, ,2015021202800, ,NS,2970000.0,R,20150201, , , ,13,20,60,358000.0,1.0, ,2.0,233264.0, ,0.0,0.0,558624.0, ,0.0, ,0.0, ,0.0, ,0.0,0.0,226556.0,566499.0,0.0, ,0.0,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,N,20231117,20231117,0.0, ,13813601002,0.0, ,138,13813,138136,13813601,138,138136010,136,010,19,89130.0,0.0,002901   N RANCHO                DR  L,1320  60,0095,0017,GRIND MODE 1 L L C              2901 N RANCHO DR                LAS VEGAS NV 89130,002901   N RANCHO                DR, ,358.0,1388.90041725,87889.708984375,1388.9004172593538
